State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,fiber_length_km,fiber_per_sqkm
2,32,172,Nahan,17705,84149,298.0,282.0,HIMACHAL PRADESH,Sirmaur,59.41275167785235,65.65734589834697,62.276193165772376,96.34563758389262,7.8033,0.0262
2,32,173,Paonta Sahib,31523,157799,737.0,214.0,HIMACHAL PRADESH,Sirmaur,42.77204884667571,84.04109024772019,81.87672493100277,99.16146540027138,7.8602,0.0107
2,33,177,Rampur,18484,77542,832.1593022206645,93.0,HIMACHAL PRADESH,Shimla,22.212093226230117,86.70397977870059,84.88422419389742,99.331858697588,13.3517,0.016
2,33,180,Seoni,7354,35379,247.24670184195864,143.0,HIMACHAL PRADESH,Shimla,29.743571684530355,92.67644647955,91.02529235790048,99.28816037306537,11.6123,0.047
2,33,181,Shimla   ( Rural ),17594,84382,356.6,237.0,HIMACHAL PRADESH,Shimla,49.33819405496354,97.55635088051952,97.76060020461522,99.6045989904655,18.1552,0.0509
2,34,194,Hangrang,1113,4659,553.0,8.0,HIMACHAL PRADESH,Kinnaur,2.0126582278481013,100.0,100.0,100.0,61.1835,0.1106
2,34,195,Poo,1987,8309,1290.0,6.0,HIMACHAL PRADESH,Kinnaur,1.54031007751938,100.0,100.0,100.0,76.4475,0.0593
2,34,196,Morang,2371,10238,1660.0,6.0,HIMACHAL PRADESH,Kinnaur,1.428313253012048,100.0,100.0,100.0,136.913,0.0825
2,34,197,Kalpa,4759,19190,376.35,51.0,HIMACHAL PRADESH,Kinnaur,12.64514414773482,100.0,100.0,100.0,52.1946,0.1387
2,34,198,Nichar,6681,27683,1141.32,24.0,HIMACHAL PRADESH,Kinnaur,5.853748291452003,100.0,100.0,100.0,73.4022,0.0643
2,34,199,Sangla,3065,14042,1380.33,10.0,HIMACHAL PRADESH,Kinnaur,2.2204835075670317,100.0,100.0,100.0,60.9199,0.0441
