subdistrict_name,state_name,fiber_length_km
Amaravathi,ANDHRA PRADESH,0.0
Thullur,ANDHRA PRADESH,0.0
Tadepalle,ANDHRA PRADESH,0.0
Mangalagiri,ANDHRA PRADESH,0.0
Tadikonda,ANDHRA PRADESH,0.0
Pedakurapadu,ANDHRA PRADESH,0.0
Sattenapalle,ANDHRA PRADESH,0.0
Rajupalem,ANDHRA PRADESH,0.0
Nekarikallu,ANDHRA PRADESH,0.0
Bollapalle,ANDHRA PRADESH,0.0
Vinukonda,ANDHRA PRADESH,0.0
Nuzendla,ANDHRA PRADESH,0.0
Savalyapuram H/O Kanamarlapudi,ANDHRA PRADESH,0.0
Ipur,ANDHRA PRADESH,0.0
Rompicherla,ANDHRA PRADESH,0.0
Narasaraopet,ANDHRA PRADESH,0.0
Muppalla,ANDHRA PRADESH,0.0
Nadendla,ANDHRA PRADESH,0.0
"Chilakaluripet
 H/O.Purushoth*",ANDHRA PRADESH,0.0
Edlapadu,ANDHRA PRADESH,0.0
Phirangipuram,ANDHRA PRADESH,0.0
Medikonduru,ANDHRA PRADESH,0.0
Guntur,ANDHRA PRADESH,0.0
Pedakakani,ANDHRA PRADESH,0.0
Duggirala,ANDHRA PRADESH,0.0
Kollipara,ANDHRA PRADESH,1.9814
Tenali,ANDHRA PRADESH,6.9526
Chebrolu,ANDHRA PRADESH,2.913
Vatticherukuru,ANDHRA PRADESH,0.0
Prathipadu,ANDHRA PRADESH,0.0
Pedanandipadu,ANDHRA PRADESH,0.0
Kakumanu,ANDHRA PRADESH,0.0
Ponnur,ANDHRA PRADESH,1.4125
Tsundur,ANDHRA PRADESH,10.9688
Amruthalur,ANDHRA PRADESH,0.0
Vemuru,ANDHRA PRADESH,5.1181
Kollur,ANDHRA PRADESH,8.3478
Bhattiprolu,ANDHRA PRADESH,1.0155
Cherukupalle H/O Arumbaka,ANDHRA PRADESH,0.0
Pittalavanipalem,ANDHRA PRADESH,0.0
Karlapalem,ANDHRA PRADESH,0.0
Bapatla,ANDHRA PRADESH,0.0
Nizampatnam,ANDHRA PRADESH,6.8
Nagaram,ANDHRA PRADESH,7.4945
Repalle,ANDHRA PRADESH,13.2909
Yerragondapalem,ANDHRA PRADESH,0.0
Pullalacheruvu,ANDHRA PRADESH,0.0
Tripuranthakam,ANDHRA PRADESH,0.0
Dornala,ANDHRA PRADESH,0.0
Peda  Araveedu,ANDHRA PRADESH,0.0
Donakonda,ANDHRA PRADESH,0.0
Kurichedu,ANDHRA PRADESH,0.0
Santhamaguluru,ANDHRA PRADESH,0.0
Ballikurava,ANDHRA PRADESH,0.0
Martur,ANDHRA PRADESH,0.0
Yeddana Pudi,ANDHRA PRADESH,0.0
Parchur,ANDHRA PRADESH,0.0
Karamchedu,ANDHRA PRADESH,0.0
Inkollu,ANDHRA PRADESH,0.0
Janakavarampanguluru,ANDHRA PRADESH,0.0
Addanki,ANDHRA PRADESH,0.0
Mundlamuru,ANDHRA PRADESH,0.0
Darsi,ANDHRA PRADESH,0.0
Markapur,ANDHRA PRADESH,0.0
Ardhaveedu,ANDHRA PRADESH,0.0
Cumbum,ANDHRA PRADESH,0.0
Tarlupadu,ANDHRA PRADESH,0.0
Konakanamitla,ANDHRA PRADESH,0.0
Podili,ANDHRA PRADESH,0.0
Thallur,ANDHRA PRADESH,0.0
Korisapadu,ANDHRA PRADESH,0.0
Chirala,ANDHRA PRADESH,0.0
Vetapalem,ANDHRA PRADESH,0.0
Chinaganjam,ANDHRA PRADESH,0.0
Naguluppala Padu,ANDHRA PRADESH,0.0
Maddipadu,ANDHRA PRADESH,0.0
Chimakurthi,ANDHRA PRADESH,0.0
Marripudi,ANDHRA PRADESH,0.0
Hanumanthuni Padu,ANDHRA PRADESH,0.0
Bestawaripeta,ANDHRA PRADESH,0.0
Racherla,ANDHRA PRADESH,0.0
Giddalur,ANDHRA PRADESH,0.0
Komarolu,ANDHRA PRADESH,0.0
Veligandla,ANDHRA PRADESH,0.0
Kanigiri,ANDHRA PRADESH,0.0
Kondapi,ANDHRA PRADESH,0.0
Santhanuthala Padu,ANDHRA PRADESH,0.0
Ongole,ANDHRA PRADESH,0.0
Kotha Patnam,ANDHRA PRADESH,0.0
Tangutur,ANDHRA PRADESH,0.0
Zarugumilli,ANDHRA PRADESH,0.0
Ponnaluru,ANDHRA PRADESH,0.0
Pedacherlo Palle,ANDHRA PRADESH,0.0
Chandra Sekhara Puram,ANDHRA PRADESH,0.0
Pamur,ANDHRA PRADESH,2.9759
Voletivaripalem,ANDHRA PRADESH,0.0
Kandukur,ANDHRA PRADESH,0.0
Singarayakonda,ANDHRA PRADESH,0.0
Lingasamudram,ANDHRA PRADESH,2.1184
Gudluru,ANDHRA PRADESH,0.0
Ulavapadu,ANDHRA PRADESH,0.0
Seetharamapuram,ANDHRA PRADESH,24.8038
Udayagiri,ANDHRA PRADESH,69.9532
Varikuntapadu,ANDHRA PRADESH,29.26
Kondapuram,ANDHRA PRADESH,57.0387
Jaladanki,ANDHRA PRADESH,51.6031
Kavali,ANDHRA PRADESH,0.0
Bogole,ANDHRA PRADESH,0.0
Kaligiri,ANDHRA PRADESH,4.0913
Vinjamur,ANDHRA PRADESH,54.7331
Duttalur,ANDHRA PRADESH,8.288
Marripadu,ANDHRA PRADESH,25.324
Atmakur,ANDHRA PRADESH,40.1478
Anumasamudrampeta,ANDHRA PRADESH,19.5133
Dagadarthi,ANDHRA PRADESH,0.0
Allur,ANDHRA PRADESH,0.0
Vidavalur,ANDHRA PRADESH,1.2709
Kodavalur,ANDHRA PRADESH,0.0
Buchireddipalem,ANDHRA PRADESH,24.2338
Sangam,ANDHRA PRADESH,14.753
Chejerla,ANDHRA PRADESH,99.9702
Ananthasagaram,ANDHRA PRADESH,61.5465
Kaluvoya,ANDHRA PRADESH,65.3556
Rapur,ANDHRA PRADESH,70.7321
Podalakur,ANDHRA PRADESH,155.9849
Nellore,ANDHRA PRADESH,121.4993
Kovur,ANDHRA PRADESH,10.9893
Indukurpet,ANDHRA PRADESH,47.6553
Thotapalligudur,ANDHRA PRADESH,50.4305
Muthukur,ANDHRA PRADESH,16.1733
Venkatachalam,ANDHRA PRADESH,146.5748
Manubolu,ANDHRA PRADESH,167.6397
Gudur,ANDHRA PRADESH,77.7638
Sydapuram,ANDHRA PRADESH,100.7771
Dakkili,ANDHRA PRADESH,35.4116
Venkatagiri,ANDHRA PRADESH,26.1549
Balayapalle,ANDHRA PRADESH,81.233
Ojili,ANDHRA PRADESH,17.9831
